id,Usage,price
0,Public,4200
6,Public,28500
11,Public,19000
12,Public,51500
20,Public,41998
22,Public,9900
31,Public,104900
33,Public,15000
34,Public,87000
35,Public,23000
44,Public,145000
49,Public,34500
54,Public,33200
76,Public,13999
77,Public,22000
87,Public,27899
89,Public,29500
96,Public,8300
97,Public,26500
101,Public,65000
102,Public,13490
103,Public,62500
105,Public,41950
110,Public,87500
112,Public,17498
113,Public,10900
117,Public,13999
119,Public,11000
121,Public,41927
124,Public,17999
127,Public,12900
128,Public,15900
129,Public,18000
131,Public,18000
139,Public,27671
142,Public,51500
143,Public,28495
145,Public,46750
149,Public,51900
164,Public,29645
180,Public,21500
183,Public,15750
186,Public,48000
197,Public,39000
198,Public,33950
201,Public,28500
204,Public,18000
206,Public,36000
213,Public,73897
225,Public,43000
237,Public,39998
238,Public,17800
260,Public,43000
262,Public,6700
270,Public,12800
271,Public,44798
272,Public,47500
274,Public,35900
285,Public,38000
286,Public,31599
288,Public,12468
297,Public,26999
298,Public,21800
300,Public,49900
301,Public,16000
304,Public,30999
305,Public,3850
306,Public,6000
307,Public,19980
308,Public,7500
314,Public,7500
317,Public,25215
323,Public,62450
326,Public,16000
349,Public,146000
350,Public,349950
351,Public,61000
355,Public,31000
361,Public,35900
367,Public,34900
369,Public,59500
378,Public,21500
382,Public,68420
384,Public,77430
391,Public,197750
394,Public,3600
401,Public,29950
416,Public,22000
419,Public,39860
423,Public,17900
436,Public,46750
444,Public,24500
447,Public,26499
464,Public,27500
466,Public,46500
473,Public,28500
476,Public,7999
477,Public,25500
481,Public,275000
485,Public,26800
491,Public,15000
498,Public,30000
499,Public,49990
500,Public,12500
505,Public,75000
508,Public,46900
510,Public,22000
512,Public,18400
513,Public,30825
516,Public,15500
517,Public,5500
519,Public,46000
522,Public,15500
541,Public,349950
548,Public,22000
549,Public,29500
550,Public,48698
560,Public,49900
562,Public,108900
564,Public,45999
565,Public,41500
567,Public,16600
572,Public,65000
573,Public,31000
575,Public,27500
577,Public,51900
581,Public,12900
582,Public,18700
583,Public,143900
585,Public,21000
596,Public,23500
597,Public,20150
611,Public,279950
616,Public,60000
621,Public,43000
625,Public,5800
629,Public,23998
634,Public,23000
642,Public,19995
647,Public,15550
651,Public,64995
652,Public,239995
656,Public,7700
657,Public,28750
660,Public,62890
663,Public,20000
668,Public,6299
674,Public,25900
677,Public,18795
684,Public,59000
686,Public,11000
687,Public,23500
689,Public,68495
690,Public,51890
698,Public,399900
700,Public,23999
704,Public,27900
705,Public,63000
710,Public,21500
713,Public,45900
718,Public,254900
734,Public,16995
756,Public,17000
760,Public,26772
775,Public,12433
787,Public,26500
790,Public,24999
795,Public,44850
797,Public,68969
800,Public,8999
803,Public,69900
804,Public,26000
809,Public,9950
811,Public,41598
813,Public,22500
821,Public,32455
841,Public,97500
844,Public,52000
847,Public,165000
850,Public,11000
854,Public,13999
859,Public,44999
861,Public,9995
862,Public,12900
866,Public,19500
868,Public,24500
875,Public,314900
878,Public,46900
879,Public,8500
883,Public,10200
886,Public,75499
896,Public,48219
899,Public,29000
920,Public,13500
923,Public,36880
926,Public,45855
928,Public,36995
929,Public,87000
935,Public,37999
936,Public,6500
940,Public,11500
943,Public,33490
947,Public,43666
949,Public,15900
951,Public,20995
963,Public,69790
964,Public,67000
975,Public,10500
976,Public,30990
979,Public,54599
980,Public,24999
985,Public,14500
986,Public,59203
989,Public,28500
1002,Public,39990
1003,Public,27750
1008,Public,110000
1009,Public,15500
1017,Public,115000
1020,Public,27500
1022,Public,10900
1025,Public,3500
1027,Public,39000
1032,Public,27500
1036,Public,9500
1040,Public,68990
1041,Public,6700
1045,Public,5750
1047,Public,85950
1054,Public,25625
1057,Public,10800
1059,Public,8500
1060,Public,43663
1068,Public,6900
1069,Public,60995
1075,Public,89000
1077,Public,28000
1078,Public,31900
1081,Public,89000
1090,Public,479995
1101,Public,20990
1108,Public,19395
1109,Public,88900
1113,Public,61500
1120,Public,13000
1122,Public,15500
1126,Public,22000
1134,Public,33000
1136,Public,38900
1137,Public,12000
1139,Public,53500
1150,Public,26999
1164,Public,9500
1170,Public,16750
1185,Public,46999
1189,Public,44600
1197,Public,38490
1199,Public,179000
1201,Public,52500
