Usage,id,price
Public,0,4200
Public,6,28500
Public,11,19000
Public,12,51500
Public,20,41998
Public,22,9900
Public,31,104900
Public,33,15000
Public,34,87000
Public,35,23000
Public,44,145000
Public,49,34500
Public,54,33200
Public,76,13999
Public,77,22000
Public,87,27899
Public,89,29500
Public,96,8300
Public,97,26500
Public,101,65000
Public,102,13490
Public,103,62500
Public,105,41950
Public,110,87500
Public,112,17498
Public,113,10900
Public,117,13999
Public,119,11000
Public,121,41927
Public,124,17999
Public,127,12900
Public,128,15900
Public,129,18000
Public,131,18000
Public,139,27671
Public,142,51500
Public,143,28495
Public,145,46750
Public,149,51900
Public,164,29645
Public,180,21500
Public,183,15750
Public,186,48000
Public,197,39000
Public,198,33950
Public,201,28500
Public,204,18000
Public,206,36000
Public,213,73897
Public,225,43000
Public,237,39998
Public,238,17800
Public,260,43000
Public,262,6700
Public,270,12800
Public,271,44798
Public,272,47500
Public,274,35900
Public,285,38000
Public,286,31599
Public,288,12468
Public,297,26999
Public,298,21800
Public,300,49900
Public,301,16000
Public,304,30999
Public,305,3850
Public,306,6000
Public,307,19980
Public,308,7500
Public,314,7500
Public,317,25215
Public,323,62450
Public,326,16000
Public,349,146000
Public,350,349950
Public,351,61000
Public,355,31000
Public,361,35900
Public,367,34900
Public,369,59500
Public,378,21500
Public,382,68420
Public,384,77430
Public,391,197750
Public,394,3600
Public,401,29950
Public,416,22000
Public,419,39860
Public,423,17900
Public,436,46750
Public,444,24500
Public,447,26499
Public,464,27500
Public,466,46500
Public,473,28500
Public,476,7999
Public,477,25500
Public,481,275000
Public,485,26800
Public,491,15000
Public,498,30000
Public,499,49990
Public,500,12500
Public,505,75000
Public,508,46900
Public,510,22000
Public,512,18400
Public,513,30825
Public,516,15500
Public,517,5500
Public,519,46000
Public,522,15500
Public,541,349950
Public,548,22000
Public,549,29500
Public,550,48698
Public,560,49900
Public,562,108900
Public,564,45999
Public,565,41500
Public,567,16600
Public,572,65000
Public,573,31000
Public,575,27500
Public,577,51900
Public,581,12900
Public,582,18700
Public,583,143900
Public,585,21000
Public,596,23500
Public,597,20150
Public,611,279950
Public,616,60000
Public,621,43000
Public,625,5800
Public,629,23998
Public,634,23000
Public,642,19995
Public,647,15550
Public,651,64995
Public,652,239995
Public,656,7700
Public,657,28750
Public,660,62890
Public,663,20000
Public,668,6299
Public,674,25900
Public,677,18795
Public,684,59000
Public,686,11000
Public,687,23500
Public,689,68495
Public,690,51890
Public,698,399900
Public,700,23999
Public,704,27900
Public,705,63000
Public,710,21500
Public,713,45900
Public,718,254900
Public,734,16995
Public,756,17000
Public,760,26772
Public,775,12433
Public,787,26500
Public,790,24999
Public,795,44850
Public,797,68969
Public,800,8999
Public,803,69900
Public,804,26000
Public,809,9950
Public,811,41598
Public,813,22500
Public,821,32455
Public,841,97500
Public,844,52000
Public,847,165000
Public,850,11000
Public,854,13999
Public,859,44999
Public,861,9995
Public,862,12900
Public,866,19500
Public,868,24500
Public,875,314900
Public,878,46900
Public,879,8500
Public,883,10200
Public,886,75499
Public,896,48219
Public,899,29000
Public,920,13500
Public,923,36880
Public,926,45855
Public,928,36995
Public,929,87000
Public,935,37999
Public,936,6500
Public,940,11500
Public,943,33490
Public,947,43666
Public,949,15900
Public,951,20995
Public,963,69790
Public,964,67000
Public,975,10500
Public,976,30990
Public,979,54599
Public,980,24999
Public,985,14500
Public,986,59203
Public,989,28500
Public,1002,39990
Public,1003,27750
Public,1008,110000
Public,1009,15500
Public,1017,115000
Public,1020,27500
Public,1022,10900
Public,1025,3500
Public,1027,39000
Public,1032,27500
Public,1036,9500
Public,1040,68990
Public,1041,6700
Public,1045,5750
Public,1047,85950
Public,1054,25625
Public,1057,10800
Public,1059,8500
Public,1060,43663
Public,1068,6900
Public,1069,60995
Public,1075,89000
Public,1077,28000
Public,1078,31900
Public,1081,89000
Public,1090,479995
Public,1101,20990
Public,1108,19395
Public,1109,88900
Public,1113,61500
Public,1120,13000
Public,1122,15500
Public,1126,22000
Public,1134,33000
Public,1136,38900
Public,1137,12000
Public,1139,53500
Public,1150,26999
Public,1164,9500
Public,1170,16750
Public,1185,46999
Public,1189,44600
Public,1197,38490
Public,1199,179000
Public,1201,52500
Public,1202,9000
Public,1226,30000
Public,1239,36800
Public,1248,45000
Public,1254,59500
Public,1260,17000
Public,1261,36500
Public,1263,13500
Public,1267,85500
Public,1274,18000
Public,1275,6900
Public,1277,3200
Public,1313,9999
Public,1315,10500
Public,1321,18500
Public,1325,35000
Public,1328,15995
Public,1330,44998
Public,1332,18500
Public,1334,31450
Public,1337,65000
Public,1343,17500
Public,1344,28590
Public,1345,40000
Public,1346,26816
Public,1370,34000
Public,1373,59900
Public,1375,49685
Public,1384,11250
Public,1387,76000
Public,1389,54000
Public,1393,55000
Public,1397,14599
Public,1398,15100
Public,1406,29500
Public,1411,28250
Public,1414,22222
Public,1415,65000
Public,1416,48999
Public,1417,103500
Public,1421,13999
Public,1423,49999
Public,1430,23000
Public,1441,12900
Public,1449,39127
Public,1450,26900
Public,1452,16500
Public,1454,10998
Public,1457,14998
Public,1460,29000
Public,1472,43389
Public,1478,26500
Public,1480,26500
Public,1482,59200
Public,1483,18000
Public,1486,18000
Public,1487,44850
Public,1491,59950
Public,1492,193063
Public,1498,22500
Public,1499,64000
Public,1507,59203
Public,1510,35750
Public,1517,175000
Public,1519,27000
Public,1530,15500
Public,1538,10999
Public,1543,12000
Public,1550,55000
Public,1554,37400
Public,1557,24995
Public,1566,39999
Public,1572,7500
Public,1575,54599
Public,1576,21495
Public,1581,46105
Public,1582,43500
Public,1586,48995
Public,1601,60200
Public,1608,28890
Public,1623,4500
Public,1632,46000
Public,1635,26000
Public,1644,65000
Public,1645,13999
Public,1648,13715
Public,1659,47000
Public,1682,19000
Public,1684,169000
Public,1687,43860
Public,1688,12449
Public,1689,60000
Public,1697,18000
Public,1704,19500
Public,1707,47214
Public,1711,33000
Public,1714,117900
Public,1717,29000
Public,1721,31995
Public,1725,83998
Public,1728,18650
Public,1741,7599
Public,1742,43500
Public,1749,19599
Public,1754,37300
Public,1756,67500
Public,1763,3000
Public,1764,22000
Public,1768,29500
Public,1772,25999
Public,1779,35000
Public,1790,8550
Public,1792,60998
Public,1798,51999
Public,1799,88950
Public,1800,16000
Public,1802,6099
Public,1807,10300
Public,1812,16998
Public,1819,48600
Public,1826,16000
Public,1837,109499
Public,1841,27000
Public,1842,26999
Public,1843,11000
Public,1847,15000
Public,1848,399950
Public,1851,30000
Public,1855,40998
Public,1860,27450
Public,1864,47498
Public,1866,24900
Public,1874,13995
Public,1876,105500
Public,1878,19995
Public,1879,40998
Public,1886,21500
Public,1888,13700
Public,1901,17000
Public,1922,124999
Public,1923,23977
Public,1929,90000
Public,1933,8000
Public,1934,26599
Public,1941,65990
Public,1943,39900
Public,1952,102000
Public,1958,27000
Public,1965,133000
Public,1966,21000
Public,1970,29900
Public,1972,26000
Public,1976,13000
Public,1977,41500
Public,1979,159998
Public,1982,38005
Public,1994,23000
Public,1999,12000
Public,2002,46900
Public,2018,76000
Public,2029,26000
Public,2034,30000
Public,2040,96850
Public,2044,45950
Public,2047,80000
Public,2060,28825
Public,2062,12599
Public,2071,6500
Public,2073,17800
Public,2085,52500
Public,2086,7900
Public,2088,33600
Public,2103,83999
Public,2105,10500
Public,2108,50000
Public,2109,83000
Public,2113,27875
Public,2115,61500
Public,2122,34500
Public,2129,53568
Public,2130,54000
Public,2136,18999
Public,2141,40000
Public,2152,23500
Public,2154,22000
Public,2158,19500
Public,2162,4500
Public,2163,28995
Public,2165,43500
Public,2166,66000
Public,2167,159500
Public,2172,23599
Public,2173,73000
Public,2184,46900
Public,2189,24999
Public,2193,46900
Public,2207,85000
Public,2218,13250
Public,2220,349950
Public,2223,14300
Public,2226,39998
Public,2231,43000
Public,2235,25500
Public,2240,199991
Public,2246,15500
Public,2254,24325
Public,2259,4500
Public,2262,15000
Public,2264,73995
Public,2268,33500
Public,2271,43500
Public,2288,31000
Public,2290,171900
Public,2296,47998
Public,2300,8900
Public,2302,11000
Public,2307,32000
Public,2316,15000
Public,2319,6000
Public,2321,71000
Public,2331,399900
Public,2338,139000
Public,2342,27950
Public,2343,26500
Public,2357,8300
Public,2361,18900
Public,2362,26000
Public,2367,10500
Public,2372,14999
Public,2375,33172
Public,2379,67900
Public,2381,11500
Public,2385,6450
Public,2388,31853
Public,2392,60500
Public,2393,33242
Public,2401,10499
Public,2403,43147
Public,2408,33995
Public,2411,8900
Public,2429,59000
Public,2436,16975
Public,2440,30000
Public,2447,34500
Public,2448,13900
Public,2449,16000
Public,2463,7900
Public,2481,37900
Public,2483,48889
Public,2484,91000
Public,2485,16500
Public,2494,9500
Public,2495,18000
Public,2498,32999
Public,2502,36995
Public,2504,20995
Public,2505,32107
Public,2508,55000
Public,2513,90000
Public,2518,24000
Public,2530,36998
Public,2532,149500
Public,2537,11000
Public,2538,20199
Public,2540,7500
Public,2541,15300
Public,2552,6700
Public,2555,65000
Public,2556,42800
Public,2557,47500
Public,2563,57999
Public,2570,89900
Public,2572,4500
Public,2579,33400
Public,2583,43000
Public,2584,164725
Public,2588,20000
Public,2591,17000
Public,2608,7500
Public,2609,23998
Public,2613,19800
Public,2616,8500
Public,2617,35707
Public,2619,67500
Public,2627,16998
Public,2633,78000
Public,2636,146000
Public,2651,33995
Public,2660,12000
Public,2678,19900
Public,2679,33499
Public,2683,19800
Public,2688,21000
Public,2694,133500
Public,2702,25900
Public,2713,49999
Public,2717,104900
Public,2718,99900
Public,2721,71999
Public,2723,27450
Public,2724,15000
Public,2729,37000
Public,2736,94000
Public,2739,25000
Public,2741,52000
Public,2748,29999
Public,2755,24500
Public,2758,19500
Public,2760,6000
Public,2767,45500
Public,2769,42800
Public,2771,22450
Public,2776,6000
Public,2782,44870
Public,2783,71999
Public,2785,19990
Public,2788,35113
Public,2789,17500
Public,2796,5700
Public,2800,49273
Public,2803,59500
Public,2815,13000
Public,2818,17500
Public,2832,63598
Public,2841,7900
Public,2846,17500
Public,2849,28000
Public,2852,26500
Public,2861,34950
Public,2862,5995
Public,2863,72999
Public,2868,9200
Public,2870,8500
Public,2872,31999
Public,2876,67900
Public,2887,26000
Public,2888,28750
Public,2891,15000
Public,2893,15500
Public,2905,34599
Public,2908,17950
Public,2909,10750
Public,2914,19950
Public,2937,29950
Public,2955,26500
Public,2956,45900
Public,2957,16500
Public,2960,20470
Public,2964,1950995
Public,2974,24999
Public,2975,259500
Public,2986,26288
Public,2987,11000
Public,2992,7000
Public,2996,72777
Public,3001,45000
Public,3006,5000
Public,3010,9000
Public,3016,8000
Public,3020,13000
Public,3027,18900
Public,3049,23000
Public,3050,30775
Public,3054,11000
Public,3056,27500
Public,3057,17900
Public,3059,140000
Public,3063,67000
Public,3064,53000
Public,3069,20708
Public,3071,15990
Public,3073,27000
Public,3076,26500
Public,3077,3600
Public,3087,74995
Public,3091,40000
Public,3099,59000
Public,3109,85495
Public,3116,8900
Public,3123,32900
Public,3128,11000
Public,3129,143900
Public,3140,238900
Public,3142,9000
Public,3156,30000
Public,3161,71999
Public,3167,179900
Public,3170,39990
Public,3173,26000
Public,3175,68500
Public,3182,19500
Public,3186,32000
Public,3189,17000
Public,3198,36800
Public,3199,36950
Public,3200,162950
Public,3206,95998
Public,3207,49900
Public,3211,136900
Public,3215,29500
Public,3220,46999
Public,3222,21000
Public,3227,53000
Public,3231,49000
Public,3233,5000
Public,3237,17000
Public,3241,40655
Public,3242,12300
Public,3251,4900
Public,3254,17000
Public,3266,24590
Public,3282,38500
Public,3288,73900
Public,3289,26900
Public,3299,17000
Public,3304,54500
Public,3314,23750
Public,3318,49599
Public,3319,15599
Public,3325,19500
Public,3329,41500
Public,3335,27500
Public,3341,19500
Public,3354,55000
Public,3355,44999
Public,3357,43000
Public,3365,21500
Public,3368,7950
Public,3381,43000
Public,3382,9250
Public,3383,49999
Public,3393,13250
Public,3406,6250
Public,3414,10000
Public,3426,8500
Public,3430,88900
Public,3431,39853
Public,3433,25500
Public,3442,243900
Public,3448,108900
Public,3451,38598
Public,3455,23977
Public,3463,5500
Public,3464,85495
Public,3472,38436
Public,3478,36949
Public,3479,18000
Public,3490,25000
Public,3491,26000
Public,3493,17500
Public,3494,40000
Public,3506,10000
Public,3507,6000
Public,3509,18200
Public,3518,42900
Public,3521,19800
Public,3548,46900
Public,3550,46500
